,HR,LF,HF,LF/HF,LF+HF,ccvTP,judgement,0,1,2,3,4,5,6,7,8
2016/10/05 18:17:13,77.66,233.94,97.77,2.37,331.71,2.2071,1.0,36.81,食事前,最適,疲れたぁ,眠い…,,,,
2016/10/05 18:20:16,79.0,123.94,47.75,2.79,171.69,1.7122,1.0,36.81,食事前,最適,疲れたぁ,眠い…,,,,
2016/10/05 22:10:29,75.42,171.56,75.08,2.4,246.64,1.9095,1.0,37.16,食事後,入浴後,最適,リラックス,普通,,,
2016/10/05 22:13:48,74.62,420.56,102.05,4.45,522.61,2.7966,1.0,37.16,食事後,入浴後,最適,リラックス,普通,,,
2016/10/06 06:38:04,70.42,1471.6,130.22,14.54,1601.82,4.4845,2.0,36.62,食事前,最適,疲れたぁ,眠い…,睡眠後,,,
2016/10/06 06:44:13,71.29,545.34,56.04,10.44,601.39,2.7549,2.0,36.62,最適,疲れたぁ,眠い…,睡眠後,,,,
2016/10/06 09:07:48,76.83,261.94,90.74,3.02,352.68,2.3865,1.0,37.13,食事後,暑い…,歩行後,不安…,眠い…,,,
2016/10/06 09:11:41,77.73,345.34,70.09,5.08,415.43,2.6328,2.0,37.13,入浴前,食事後,暑い…,歩行後,不安…,眠い…,,
2016/10/06 09:14:26,76.96,285.78,86.0,3.32,371.78,2.3734,1.0,食事前,37.13,食事後,暑い…,運動後,歩行後,不安…,眠い…,
2016/10/06 12:10:16,68.79,153.05,60.65,2.65,213.7,1.6702,1.0,36.89,食事前,最適,疲れたぁ,眠い…,,,,
2016/10/06 12:13:57,70.24,932.08,54.62,15.97,986.7,3.2861,2.0,36.89,食事前,最適,疲れたぁ,眠い…,,,,
2016/10/06 12:16:51,70.23,471.3,65.62,7.6,536.92,2.6887,2.0,36.89,食事前,最適,疲れたぁ,眠い…,,,,
2016/10/06 15:17:57,81.09,251.43,42.64,7.8,294.07,2.2524,2.0,36.90,食事後,最適,疲れたぁ,眠い…,,,,
2016/10/06 15:21:23,82.01,141.76,41.46,3.92,183.22,1.8143,1.0,36.90,食事後,最適,疲れたぁ,眠い…,,,,
2016/10/06 15:23:58,79.6,319.76,48.34,7.1,368.1,2.5562,2.0,36.90,食事後,最適,疲れたぁ,眠い…,,,,
2016/10/06 17:06:05,71.9,392.36,140.31,3.06,532.66,2.7460000000000004,1.0,36.90,37.13,暑い…,疲れたぁ,眠い…,,,,
2016/10/06 17:08:55,72.41,257.8,102.95,2.78,360.75,2.1731,1.0,37.13,暑い…,疲れたぁ,眠い…,,,,,
2016/10/06 20:41:57,92.2,164.47,52.85,4.29,217.32,2.2064,1.0,36.83,食事前,入浴後,運動後,最適,疲れたぁ,リラックス,普通,
2016/10/06 20:54:26,86.79,444.41,137.06,3.36,581.47,3.4371,1.0,36.83,食事前,入浴後,最適,運動後,疲れたぁ,リラックス,普通,
2016/10/07 06:21:32,68.76,266.11,116.54,2.2,382.65,2.173,1.0,36.65,食事前,最適,疲れたぁ,眠い…,,,,
2016/10/07 06:24:18,67.91,205.14,188.39,1.3,393.53,2.2095,1.0,36.65,食事前,最適,疲れたぁ,眠い…,,,,
2016/10/07 09:51:09,77.25,184.09,159.06,1.12,343.15,2.3049,1.0,36.34,食事後,寒っ！,不安…,普通,,,,
2016/10/07 10:13:06,71.97,336.93,118.77,3.09,455.7,2.4928,1.0,36.34,食事前,寒っ！,不安…,普通,,,,
2016/10/07 12:37:11,69.32,441.87,189.48,2.43,631.35,2.8988,1.0,36.47,食事前,36.47,最適,疲れたぁ,普通,,,
2016/10/07 12:40:18,70.13,416.58,167.03,2.64,583.61,2.8097,1.0,36.47,食事前,最適,疲れたぁ,眠い…,,,,
2016/10/07 17:25:40,74.47,317.12,118.48,2.89,435.6,2.5527,1.0,37.05,食事後,暑い…,疲れたぁ,不安…,眠い…,,,
2016/10/07 17:31:17,74.76,265.43,83.79,3.26,349.22,2.3129,1.0,37.05,食事後,暑い…,疲れたぁ,不安…,眠い…,,,
2016/10/07 19:43:05,73.48,810.42,151.65,5.63,962.06,3.7478,2.0,37.20,食事前,暑い…,体調悪い…,疲れたぁ,眠い…,,,
2016/10/07 19:46:01,75.09,767.43,110.38,7.01,877.82,3.5806,2.0,37.20,食事前,暑い…,体調悪い…,疲れたぁ,眠い…,,,
